Label,A (Total),B (Gen Pop Sample),C (MVPD Users),D (vMVPD Users),E (Male),F (Female)
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 1,,,,,,
hAge. What is your age group?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
18-34,955,773,327,391,389,384
,27.77%,29.50%,21.22%,27.77%,30.61%,28.47%
35-54,1121,845,471,550,419,426
,32.60%,32.25%,30.56%,39.06%,32.97%,31.58%
55+,1363,1002,743,467,463,539
,39.63%,38.24%,48.22%,33.17%,36.43%,39.96%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Mean,48.62,48.09,52.20,46.44,47.51,48.64
Std. Dev.,16.77,16.83,16.77,15.73,17.05,16.60
Std. Err.,0.29,0.33,0.43,0.42,0.48,0.45
Median,47.00,47.00,53.00,43.00,45.00,48.00
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 2,,,,,,
hGender. What is your gender?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
Male,1704,1271,842,757,1271,0
,49.55%,48.51%,54.64%,53.76%,100.00%,0.00%
Female,1735,1349,699,651,0,1349
,50.45%,51.49%,45.36%,46.24%,0.00%,100.00%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
